,News Source,Tweet Text,Tweet Date,Compound Score,Pos.score,Neg.score,Neu.score,Tweets ago
71,BBC News (World),"RT @BBCSport: FT #NGA 2-0 #ISL 

Ahmed Musa is the hero for Nigeria with a brilliant double. 

📺 @BBCOne 
📻 @5liveSport 
📱 https://t.co/rSd…",Fri Jun 22 16:57:16 +0000 2018,0.8126,0.303,0.0,0.697,72
72,BBC News (World),Boris Becker insists CAR diplomatic passport is genuine https://t.co/I78kZ2MYja,Fri Jun 22 16:45:24 +0000 2018,0.0,0.0,0.0,1.0,73
73,BBC News (World),"RT @BBCSport: GOAL! #NGA 2-0 #ISL 

Ahmed Musa again! He breaks free, goes round the keeper and fires home - a brilliant individual goal.…",Fri Jun 22 16:44:56 +0000 2018,0.8264,0.278,0.0,0.722,74
74,BBC News (World),Is racism worsening Australia's China influence row? https://t.co/YF8MfJd8uY,Fri Jun 22 16:18:16 +0000 2018,-0.7964,0.0,0.542,0.458,75
75,BBC News (World),"RT @BBCSport: GOAL! #NGA 1-0 #ISL 

Ahmed Musa! He collects a cross mid-air and hammers into the back of the net - great goal!

📺 @BBCOne…",Fri Jun 22 16:13:12 +0000 2018,0.7163,0.184,0.0,0.816,76
76,BBC News (World),Koko: Gorilla death coverage rekindles language debate https://t.co/fTmgGwuuml,Fri Jun 22 15:50:46 +0000 2018,-0.5994,0.0,0.358,0.642,77
77,BBC News (World),Ethiopia unblocks 264 websites and TV channels https://t.co/NmDhDcEFIx,Fri Jun 22 15:22:53 +0000 2018,0.0,0.0,0.0,1.0,78
78,BBC News (World),"RT @BBC_HaveYourSay: Carles Puyol, ex-Barcelona star, barred from Iran World Cup punditry for his flowing locks.
https://t.co/0rEejDzSjw",Fri Jun 22 15:16:27 +0000 2018,0.0,0.0,0.0,1.0,79
79,BBC News (World),"RT @BBCMOTD: Spotted at #NGA v #ISL 👀

""Nigeria, please win for Messi."" 😳🇳🇬

https://t.co/2vYhDvda3Q #WorldCup #bbcworldcup https://t.co/iw…",Fri Jun 22 15:09:49 +0000 2018,0.7269,0.303,0.0,0.697,80
80,BBC News (World),Airlines warn of flight disruptions over French ATC strike https://t.co/uYFYwnNC2d,Fri Jun 22 14:04:51 +0000 2018,-0.5106,0.0,0.431,0.569,81
81,BBC News (World),Drone footage offers a unique look at a 'tent city' built to house migrant children in Texas… https://t.co/0GVRKF4F7O,Fri Jun 22 13:53:38 +0000 2018,0.0,0.0,0.0,1.0,82
82,BBC News (World),Migrant families separation poster girl 'not taken from mum' https://t.co/4ymKNsTLp1,Fri Jun 22 13:43:25 +0000 2018,0.0,0.0,0.0,1.0,83
83,BBC News (World),African teens: We are proud to be black https://t.co/oCEngKacFC,Fri Jun 22 13:33:41 +0000 2018,0.4767,0.279,0.0,0.721,84
84,BBC News (World),A mother is reunited with her seven-year-old son after being separated at the US border weeks ago… https://t.co/jBrlyZBiND,Fri Jun 22 13:08:01 +0000 2018,0.0,0.0,0.0,1.0,85
